15,Spectre ,Color,602,148,2024,200074175,275868,11700,1,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,3,57,PG-13,245000000,2015,6.8,2.35,85000
16,The Dark Knight Rises ,Color,813,164,373,448130642,1144337,106759,0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,3,31,PG-13,250000000,2012,8.5,2.35,164000
17,Star Wars: Episode VII - The Force Awakens             ,,,,604,,8,143,0,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,7.1,,0
18,John Carter ,Color,462,132,104,73058679,212204,1873,1,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,3,31,PG-13,263700000,2012,6.6,2.35,24000
19,Spider-Man 3 ,Color,392,156,2028,336530303,383056,46055,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,3,31,PG-13,258000000,2007,6.2,2.35,0
20,Tangled ,Color,324,100,1651,200807262,294810,2036,1,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,3,31,PG,260000000,2010,7.8,1.85,29000
21,Avengers: Age of Ultron ,Color,635,141,1226,458991599,462669,92000,4,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,3,31,PG-13,250000000,2015,7.5,2.35,118000
22,Harry Potter and the Half-Blood Prince ,Color,375,153,547,301956980,321795,58753,3,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,3,57,PG,250000000,2009,7.5,2.35,10000
23,Batman v Superman: Dawn of Justice ,Color,673,183,2394,330249062,371639,24450,0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,3,31,PG-13,250000000,2016,6.9,2.35,197000
24,Superman Returns ,Color,434,169,281,200069408,240396,29991,0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,3,31,PG-13,209000000,2006,6.1,2.35,0
25,Quantum of Solace ,Color,403,106,1432,168368427,330784,2023,1,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,3,57,PG-13,200000000,2008,6.7,2.35,0
26,Pirates of the Caribbean: Dead Man's Chest ,Color,313,151,800,423032628,522040,48486,2,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,3,31,PG-13,225000000,2006,7.3,2.35,5000
27,The Lone Ranger ,Color,450,150,800,89289910,181792,45757,1,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,3,31,PG-13,215000000,2013,6.5,2.35,48000
28,Man of Steel ,Color,733,143,2394,291021565,548573,20495,0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,3,31,PG-13,225000000,2013,7.2,2.35,118000
29,The Chronicles of Narnia: Prince Caspian ,Color,258,150,88,141614023,149922,22697,4,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,3,31,PG,225000000,2008,6.6,2.35,0
30,The Avengers ,Color,703,173,1226,623279547,995415,87697,3,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,3,31,PG-13,220000000,2012,8.1,1.85,123000
31,Pirates of the Caribbean: On Stranger Tides ,Color,448,136,1954,241063875,370704,54083,4,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,3,31,PG-13,250000000,2011,6.7,2.35,58000
32,Platoon ,Color,120,120,1704,137963328,291603,42028,0,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,3,57,R,6000000,1986,8.1,1.85,9000
33,Men in Black 3 ,Color,451,106,171,179020854,268154,12572,1,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,3,31,PG-13,225000000,2012,6.8,1.85,40000
34,The Hobbit: The Battle of the Five Armies ,Color,422,164,1788,255108370,354228,9152,0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,3,29,PG-13,250000000,2014,7.5,2.35,65000
35,The Amazing Spider-Man ,Color,599,153,1443,262030663,451803,28489,0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,3,31,PG-13,230000000,2012,7,2.35,56000
36,Robin Hood ,Color,343,156,1904,105219735,211765,3244,0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,3,31,PG-13,200000000,2010,6.7,2.35,17000
37,The Hobbit: The Desolation of Smaug ,Color,509,186,1788,258355354,483540,9152,6,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,3,31,PG-13,225000000,2013,7.9,2.35,83000
38,The Golden Compass ,Color,251,113,378,70083519,149019,24106,2,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,3,31,PG-13,180000000,2007,6.1,2.35,0
39,King Kong ,Color,446,201,1788,218051260,316018,7123,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,3,29,PG-13,207000000,2005,7.2,2.35,0
40,Titanic ,Color,315,194,920,658672302,793059,45223,0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,3,31,PG-13,200000000,1997,7.7,2.35,26000
41,Captain America: Civil War ,Color,516,147,134,407197282,272670,64798,0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,3,31,PG-13,250000000,2016,8.2,2.35,72000
42,Battleship ,Color,377,131,1771,65173160,202382,26679,0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,3,31,PG-13,209000000,2012,5.9,2.35,44000
43,Jurassic World ,Color,644,124,400,652177271,418214,8458,0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,3,31,PG-13,150000000,2015,7,2,150000
44,Skyfall ,Color,750,143,2024,304360277,522030,2039,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,3,57,PG-13,200000000,2012,7.8,2.35,80000
45,Spider-Man 2 ,Color,300,135,2028,373377893,411164,43388,1,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,3,31,PG-13,200000000,2004,7.3,2.35,0
46,Iron Man 3 ,Color,608,195,2069,408992272,557489,30426,3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,3,31,PG-13,200000000,2013,7.2,2.35,95000
47,Alice in Wonderland ,Color,451,108,2223,334185206,306320,79957,0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,3,31,PG,200000000,2010,6.5,1.85,24000
48,X-Men: The Last Stand ,Color,334,104,251,234360014,383427,21714,0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,3,47,PG-13,210000000,2006,6.8,2.35,0
49,Monsters University ,Color,376,104,466,268488329,235025,14863,0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,3,31,G,200000000,2013,7.3,1.85,44000
50,Transformers: Revenge of the Fallen ,Color,366,150,1533,402076689,323207,3218,0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,3,31,PG-13,200000000,2009,6,2.35,0
51,Transformers: Age of Extinction ,Color,378,165,1533,245428137,242420,3988,2,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,3,31,PG-13,210000000,2014,5.7,2.35,56000
52,Oz the Great and Powerful ,Color,525,130,2028,234903076,175409,73441,4,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,3,31,PG,215000000,2013,6.4,2.35,60000
53,The Amazing Spider-Man 2 ,Color,495,142,1443,202853933,321227,28631,0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,3,31,PG-13,200000000,2014,6.7,2.35,41000
54,TRON: Legacy ,Color,469,125,1210,172051787,264183,25550,0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,3,31,PG,170000000,2010,6.8,2.35,30000
55,Cars 2 ,Color,304,106,1125,191450875,101178,4482,0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,3,31,G,200000000,2011,6.3,2.35,10000
56,Green Lantern ,Color,436,123,1478,116593191,223393,17657,2,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,3,31,PG-13,200000000,2011,5.6,2.35,24000
57,Toy Story 3 ,Color,453,103,1363,414984497,544884,19085,3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,3,31,G,200000000,2010,8.3,1.85,30000
58,Terminator Salvation ,Color,422,118,1520,125320003,286095,27468,0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,3,31,PG-13,200000000,2009,6.6,2.35,0
59,Furious 7 ,Color,424,140,947,350034110,278232,79150,0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,3,31,PG-13,190000000,2015,7.2,2.35,94000
60,World War Z ,Color,654,123,1432,202351611,465019,32392,0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,3,31,PG-13,190000000,2013,7,2.35,129000
61,X-Men: Days of Future Past ,Color,539,149,281,233914986,514125,91434,7,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,3,31,PG-13,200000000,2014,8,2.35,82000
62,Star Trek Into Darkness ,Color,590,132,1054,228756232,395573,21411,0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,3,31,PG-13,190000000,2013,7.8,2.35,92000
63,Jack the Giant Slayer ,Color,338,114,281,65171860,106416,1766,1,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,3,31,PG-13,195000000,2013,6.3,2.35,22000
64,The Great Gatsby ,Color,490,143,174,144812796,362912,29770,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,3,18,PG-13,105000000,2013,7.3,2.35,115000
65,Prince of Persia: The Sands of Time ,Color,306,116,1617,90755643,222403,16149,2,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,3,31,PG-13,200000000,2010,6.6,2.35,23000
66,Pacific Rim ,Color,575,131,818,101785482,381148,19166,0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,3,31,PG-13,190000000,2013,7,1.85,83000
67,The Birth of a Nation ,Color,21,120,1648,,1197,3525,1,http://www.imdb.com/title/tt4196450/?ref_=fn_tt_tt_1,8,3,31,R,10000000,2016,5.4,2.35,0
68,Transformers: Dark of the Moon ,Color,428,154,1533,352358779,326180,2593,2,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,3,31,PG-13,195000000,2011,6.3,2.35,46000
69,Indiana Jones and the Kingdom of the Crystal Skull ,Color,470,122,2158,317011114,333847,14959,2,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,3,31,PG-13,185000000,2008,6.2,2.35,5000
70,The Good Dinosaur ,Color,298,93,1800,123070338,62836,696,0,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,3,31,PG,,2015,6.8,2.35,20000
71,Brave ,Color,488,93,1451,237282182,273556,5005,0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,3,31,PG,185000000,2012,7.2,2.35,39000
72,Star Trek Beyond ,Color,322,122,1245,130468626,53607,1327,4,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,3,31,PG-13,185000000,2016,7.5,2.35,30000
73,WALL·E ,Color,421,98,104,223806889,718837,2975,0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,3,31,G,180000000,2008,8.4,2.35,16000
74,Rush Hour 3 ,Color,162,91,251,140080850,121084,1125,2,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,3,31,PG-13,140000000,2007,6.2,2.35,0
75,2012 ,Color,367,158,1977,166112167,283418,2144,0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,3,31,PG-13,200000000,2009,5.8,2.35,13000
76,A Christmas Carol ,Color,240,96,1948,137850096,72809,48878,0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,3,31,PG,200000000,2009,6.8,2.35,0
77,Jupiter Ascending ,Color,384,127,1338,47375327,139593,47334,1,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,3,31,PG-13,176000000,2015,5.4,2.35,44000
78,The Legend of Tarzan ,Color,248,110,547,124051759,42372,21175,2,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,3,31,PG-13,180000000,2016,6.6,2.35,29000
79,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Color,284,150,88,291709845,286506,1317,5,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,3,31,PG,180000000,2005,6.9,2.35,0
80,X-Men: Apocalypse ,Color,396,144,281,154985087,148379,49684,6,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,3,31,PG-13,178000000,2016,7.3,2.35,54000
81,The Dark Knight ,Color,645,152,373,533316061,1676169,57802,0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,3,31,PG-13,185000000,2008,9,2.35,37000
82,Up ,Color,408,96,1768,292979556,665575,2635,1,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,3,31,PG,175000000,2009,8.3,1.85,27000
83,Monsters vs. Aliens ,Color,219,94,1953,198332128,114553,2579,2,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,3,31,PG,175000000,2009,6.5,2.35,0
84,Iron Man ,Color,486,126,1184,318298180,696338,39252,3,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,3,31,PG-13,140000000,2008,7.9,2.35,10000
85,Hugo ,Color,682,126,1483,73820094,245333,36017,0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,3,31,PG,170000000,2011,7.5,1.85,42000
86,Wild Wild West ,Color,85,106,171,113745408,129601,15870,2,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,3,31,PG-13,170000000,1999,4.8,1.85,0
87,The Mummy: Tomb of the Dragon Emperor ,Color,264,112,1912,102176165,117927,9131,2,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,3,31,PG-13,145000000,2008,5.2,2.35,0
88,Suicide Squad ,Color,418,123,489,161087183,118992,11287,8,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,3,31,PG-13,175000000,2016,6.9,2.35,80000
89,Evan Almighty ,Color,186,96,2275,100289690,115099,108016,0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,3,31,PG,175000000,2007,5.4,2.35,2000
90,Edge of Tomorrow ,Color,585,113,603,100189501,431620,12652,1,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,3,31,PG-13,178000000,2014,7.9,2.35,77000
91,Waterworld ,Color,91,176,1304,88246220,144337,1004,0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,3,31,PG-13,175000000,1995,6.1,1.85,0
92,G.I. Joe: The Rise of Cobra ,Color,250,118,2133,150167630,174578,26683,4,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,3,31,PG-13,175000000,2009,5.8,2.35,0
93,Inside Out ,Color,536,95,1768,356454367,345198,2944,1,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,3,31,PG,175000000,2015,8.3,1.85,118000
94,The Jungle Book ,Color,370,106,1184,362645141,106072,32921,0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,3,57,PG,175000000,2016,7.8,1.85,65000
95,Iron Man 2 ,Color,453,124,1184,312057433,522371,48638,4,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,3,31,PG-13,200000000,2010,7,2.35,18000
96,Snow White and the Huntsman ,Color,416,132,1997,155111815,228554,72881,0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,3,31,PG-13,170000000,2012,6.1,2.35,53000
97,Maleficent ,Color,401,97,1944,241407328,252257,15516,2,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,3,31,PG,180000000,2014,7,2.35,89000
98,Dawn of the Planet of the Apes ,Color,521,130,1511,208543795,317542,14363,0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,3,31,PG-13,170000000,2014,7.6,1.85,45000
99,The Lovers ,Color,10,109,1978,,2138,1982,3,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,3,62,R,,2015,4.5,,677
100,47 Ronin ,Color,218,128,292,38297305,116994,20965,2,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,3,31,PG-13,175000000,2013,6.3,2.35,35000
101,Captain America: The Winter Soldier ,Color,576,136,134,259746958,496749,36188,1,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,3,31,PG-13,170000000,2014,7.8,2.35,55000
102,Shrek Forever After ,Color,226,93,1615,238371987,138661,4628,2,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,3,31,PG,165000000,2010,6.4,2.35,0
103,Tomorrowland ,Color,443,130,233,93417865,128306,5046,2,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,3,31,PG,190000000,2015,6.5,2.2,37000
104,Big Hero 6 ,Color,384,102,589,222487711,279093,2963,0,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,3,31,PG,165000000,2014,7.9,2.39,41000
105,Wreck-It Ralph ,Color,377,101,1895,189412677,272534,4451,1,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,3,31,PG,165000000,2012,7.8,2.35,40000
106,Dutch Kills ,Color,,90,1212,,57,366,2,http://www.imdb.com/title/tt2759066/?ref_=fn_tt_tt_1,2,3,31,,25000,2015,4.8,,33
107,The Polar Express ,Color,188,100,1948,665426,120798,16264,0,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,3,31,G,165000000,2004,6.6,2.35,10000
108,Independence Day: Resurgence ,Color,286,120,1977,102315545,58137,3233,0,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,3,31,PG-13,165000000,2016,5.5,2.35,67000
109,How to Train Your Dragon ,Color,288,98,550,217387997,485430,20453,0,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492,3,31,PG,165000000,2010,8.2,2.35,33000
110,Terminator 3: Rise of the Machines ,Color,280,109,1177,150350192,305340,1769,0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676,3,31,R,200000000,2003,6.4,2.35,0
111,Guardians of the Galaxy ,Color,653,121,930,333130696,682155,32438,3,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,3,31,PG-13,170000000,2014,8.1,2.35,96000
112,Interstellar ,Color,712,169,373,187991439,928227,31488,1,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,3,31,PG-13,165000000,2014,8.6,2.35,349000
113,Inception ,Color,642,148,373,292568851,1468200,81115,0,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803,3,31,PG-13,160000000,2010,8.8,2.35,175000
114,Godzilla Resurgence ,Color,1,120,859,,374,699,0,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,46,8,,,2016,8.2,2.35,0
115,The Hobbit: An Unexpected Journey ,Color,645,182,1788,303001229,637246,9152,,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367,3,31,PG-13,180000000,2012,7.9,2.35,166000
423,Hannibal             ,Color,103,44,,,159910,996,1,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,270,3,31,TV-14,,,8.6,1.78,59000
116,The Fast and the Furious ,Color,187,106,1912,144512310,272223,45327,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,3,31,PG-13,38000000,2001,6.7,2.35,14000
117,The Curious Case of Benjamin Button ,Color,362,166,500,127490802,459346,13333,2,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,3,31,PG-13,150000000,2008,7.8,2.35,23000
118,X-Men: First Class ,Color,500,132,1505,146405371,518537,50983,3,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,3,31,PG-13,160000000,2011,7.8,2.35,54000
119,The Hunger Games: Mockingjay - Part 2 ,Color,389,137,699,281666058,166137,81385,1,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,3,31,PG-13,160000000,2015,6.6,2.35,38000
120,The Sorcerer's Apprentice ,Color,235,109,1195,63143812,124185,13388,0,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,3,31,PG,150000000,2010,6.1,2.35,11000
121,Poseidon ,Color,231,98,2379,60655503,82380,92456,0,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,3,31,PG-13,160000000,2006,5.6,2.35,0
122,Alice Through the Looking Glass ,Color,218,113,918,76846624,21352,80806,1,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,3,31,PG,170000000,2016,6.4,1.85,30000
123,Shrek the Third ,Color,227,93,343,320706665,211971,4705,2,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,3,31,PG,160000000,2007,6.1,1.85,0
124,Warcraft ,Color,275,123,612,46978995,111609,5505,0,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,3,31,PG-13,160000000,2016,7.3,2.35,89000
125,Terminator Genisys ,Color,474,126,34,89732035,188457,38873,2,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,3,31,PG-13,155000000,2015,6.6,2.35,82000
126,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Color,228,113,1532,104383624,106446,764,4,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,3,31,PG,155000000,2010,6.3,1.78,11000
127,Pearl Harbor , Black and White,191,184,1533,198539855,254111,5401,0,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999,3,31,PG-13,140000000,2001,6.1,2.35,0
128,Transformers ,Color,396,144,1533,318759914,513158,2333,0,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,3,31,PG-13,150000000,2007,7.1,2.35,8000
129,Alexander ,Color,248,206,1704,34293771,138863,24598,3,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,3,4,R,155000000,2004,5.5,2.35,0
130,Harry Potter and the Order of the Phoenix ,Color,329,138,547,292000866,355137,33433,3,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108,3,57,PG-13,150000000,2007,7.5,2.35,0
131,Harry Potter and the Goblet of Fire ,Color,295,157,1617,289994397,385670,53413,1,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896,3,57,PG-13,150000000,2005,7.6,2.35,0
132,Hancock ,Color,318,102,1771,227946274,343648,21584,0,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,3,31,PG-13,150000000,2008,6.4,2.35,0
133,I Am Legend ,Color,323,104,699,256386216,530870,13076,0,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,3,31,PG-13,150000000,2007,7.2,2.35,11000
134,Valley of the Heart's Delight ,Color,3,100,2222,118666,91,1064,7,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,3,3,31,,2500000,2006,6.6,1.85,144
135,Charlie and the Chocolate Factory ,Color,276,115,2223,206456431,320284,57844,3,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,3,31,PG,150000000,2005,6.7,1.85,0
136,Ratatouille ,Color,318,111,233,206435493,473887,4764,0,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626,3,31,G,150000000,2007,8,2.35,10000
137,Batman Begins ,Color,478,128,373,205343774,980946,59558,0,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,3,31,PG-13,150000000,2005,8.3,2.35,15000
138,Madagascar: Escape 2 Africa ,Color,167,89,652,179982968,146019,3285,0,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119,3,31,PG,150000000,2008,6.7,1.85,0
139,Night at the Museum: Battle of the Smithsonian ,Color,185,105,2077,177243721,130272,54039,2,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209,3,31,PG,150000000,2009,5.9,2.35,2000
140,X-Men Origins: Wolverine ,Color,350,119,753,179883016,361924,40054,0,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641,3,31,PG-13,150000000,2009,6.7,2.35,0
141,The Matrix Revolutions ,Color,245,129,1338,139259759,364948,1062,0,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,2121,3,18,R,150000000,2003,6.7,2.35,0
142,Frozen ,Color,406,102,333,400736600,421658,2582,0,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,904,3,31,PG,150000000,2013,7.6,2.24,58000
143,The Matrix Reloaded ,Color,275,138,1338,281492479,421818,534,0,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,2789,3,31,R,150000000,2003,7.2,2.35,0
144,Thor: The Dark World ,Color,486,112,34,206360018,414070,59803,3,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,3,31,PG-13,170000000,2013,7.1,2.35,63000
145,Mad Max: Fury Road ,Color,739,120,769,153629485,552503,40025,0,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,1588,3,18,R,150000000,2015,8.1,2.35,191000
