id:int,name:string,facebook_likes:int
316,Charles Binamé,2
317,Charles Chaplin,0
318,Charles Ferguson,117
319,Charles Herman-Wurmfeld,0
320,Charles Martin Smith,188
321,Charles Matthau,139
322,Charles Robert Carner,18
323,Charles S. Dutton,534
324,Charles Shyer,14
325,Charles Stone III,30
326,Charles T. Kanganis,18
327,Charlie Kaufman,0
328,Charlie Levi,0
329,Chatrichalerm Yukol,6
330,Cheryl Dunye,17
331,Chia-Liang Liu,32
332,Chris Atkins,2
333,Chris Buck,69
334,Chris Butler,28
335,Chris Carter,251
336,Chris Columbus,0
337,Chris D'Arienzo,7
338,Chris Eyre,149
339,Chris Gorak,21
340,Chris Kentis,9
341,Chris Koch,13
342,Chris Marker,121
343,Chris Miller,50
344,Chris Nahon,20
345,Chris Noonan,108
346,Chris Paine,2
347,Chris Roberts,38
348,Chris Robinson,49
349,Chris Rock,0
350,Chris Shadley,0
351,Chris Stokes,548
352,Christian Alvart,22
353,Christian Carion,13
354,Christian Ditter,11
355,Christian Duguay,18
356,Christian E. Christiansen,26
357,Christian Sesma,9
358,Christian Volckman,2
359,Christine Jeffs,19
360,Christophe Ali,0
361,Christophe Barratier,25
362,Christophe Gans,50
363,Christopher Barnard,0
364,Christopher Cain,58
365,Christopher Erskin,4
366,Christopher Guest,378
367,Christopher Hutson,3
368,Christopher Landon,52
369,Christopher Leitch,4
370,Christopher M. Bessette,0
371,Christopher McQuarrie,188
372,Christopher Morris,69
373,Christopher Nolan,22000
374,Christopher Scott Cherot,21
375,Christopher Smith,76
376,Christopher Spencer,25
377,Chris Wedge,77
378,Chris Weitz,129
379,Chuan Lu,14
380,Chuck Bowman,42
381,Chuck Russell,55
382,Chuck Sheetz,6
383,Ciarán Foy,11
384,C. Jay Cox,6
385,Clare Kilner,6
386,Clark Baker,0
387,Clark Gregg,0
388,Clark Johnson,69
389,Claude Chabrol,324
390,Claude Miller,27
391,Claudia Llosa,43
392,Claudia Sainte-Luce,0
393,Clay Kaytis,6
394,Clint Eastwood,16000
395,Clive Barker,385
396,Cody Cameron,18
397,Colin Higgins,19
398,Colin Minihan,6
399,Colin Strause,25
400,Colin Trevorrow,365
401,Collin Joseph Neal,14
402,Collin Schiffli,4
403,Conor McMahon,5
404,Conor McPherson,0
405,Corbin Bernsen,1000
406,Corey Grant,21
407,Corey Yuen,23
408,Cory Edwards,19
409,Costa-Gavras,333
410,Courtney Hunt,33
411,Courtney Solomon,31
412,Craig Bolotin,7
413,Craig Brewer,153
414,Craig Gillespie,44
415,Craig Johnson,7
416,Craig Mazin,82
417,Craig Moss,19
418,Craig R. Baxley,22
419,Craig Zobel,25
420,Cristian Mungiu,163
421,Curtis Hanson,161
422,Cyrus Nowrasteh,19
423,Dagur Kári,29
424,Daisy von Scherler Mayer,18
425,Damian Nieman,0
426,Damien Chazelle,141
427,Damien Dante Wayans,82
428,Damien O'Donnell,70
429,Damir Catic,2
430,Damon Santostefano,4
431,Dan Curtis,45
432,Dan Cutforth,4
433,Dan Fogelman,102
434,Dan Gilroy,66
435,Dan Harris,24
436,Daniel Algrant,3
437,Daniel Barber,12
438,Daniel Barnz,33
439,Daniel Columbie,0
440,Daniel Davila,0
441,Daniele Luchetti,6
442,Daniel Espinosa,79
443,Daniel Hsia,0
444,Daniel Lee,10
445,Daniel Mellitz,0
446,Daniel Myrick,19
447,Daniel Petrie Jr.,19
448,Daniel Sackheim,12
449,Daniel Schechter,8
450,Daniel Stamm,13
451,Daniel Taplitz,2
452,Dan Ireland,137
453,Dan Mazer,11
454,Danny Boyle,0
455,Danny Cannon,41
456,Danny DeVito,0
457,Danny Leiner,8
458,Danny Pang,15
459,Danny Perez,0
460,Danny Provenzano,84
461,Danny Steinmann,13
462,Dan O'Bannon,228
463,Dan Perri,0
464,Dan Reed,3
465,Dan Rush,7
466,Dan Scanlon,37
467,Dan Trachtenberg,16
468,Dany Boon,172
469,Dan Zukovic,8
470,Darin Scott,39
471,Dario Argento,930
472,Darnell Martin,67
473,Darrell Roodt,36
474,Darren Aronofsky,0
475,Darren Grant,0
476,Darren Lynn Bousman,163
477,Darren Stein,18
478,Daryl Wein,38
479,Daston Kalili,2
480,Dave Borthwick,3
481,Dave Carroll,0
482,Dave Green,13
483,Dave McKean,21
484,Dave Meyers,11
485,Dave Payne,0
486,Dave Rodriguez,11
487,David Anspaugh,25
488,David Atkins,8
489,David Ayer,452
490,David Bowers,42
491,David Boyd,29
492,David Caffrey,4
493,David Carson,18
494,David Cronenberg,0
495,David Cross,0
496,David DeCoteau,142
497,David Dobkin,71
498,David Duchovny,0
499,David E. Talbert,68
500,David Fincher,21000
501,David Frankel,64
502,David F. Sandberg,26
503,David Gelb,26
504,David G. Evans,0
505,David Gordon Green,234
506,David Hackl,43
507,David Hayter,512
508,David Hewlett,686
509,David Hunt,0
510,David Jacobson,12
511,David Kellogg,16
512,David Koepp,192
513,David LaChapelle,30
514,David Lam,4
515,David Lean,767
516,David Leland,2
517,David Lowery,38
518,David Lynch,0
519,David Mamet,342
520,David McNally,18
521,David Mirkin,7
522,David M. Matthews,8
523,David Moreau,0
524,David Nixon,13
525,David Nutter,119
526,David Oelhoffen,2
527,David O. Russell,737
528,David Palmer,21
529,David Pastor,10
530,David Ray,0
531,David Raynr,9
532,David R. Ellis,160
533,David Robert Mitchell,421
534,David Schwimmer,0
535,David S. Goyer,687
536,David Silverman,30
537,David Sington,90
538,David Slade,171
539,David Soren,13
540,David S. Ward,42
541,David Twohy,123
542,David Wain,136
543,David Webb Peoples,73
544,David Winning,65
545,David Winters,49
546,David Worth,58
547,David Yates,282
548,David Zucker,119
549,Davis Guggenheim,49
550,Dean DeBlois,255
551,Dean Israelite,16
552,Dean Parisot,23
553,Dean Wright,0
554,Deb Hagan,0
555,Deborah Anderson,4
556,Debra Granik,81
557,Deepa Mehta,375
558,Demian Lichtenstein,11
559,Dena Seidel,0
560,Denis Villeneuve,777
561,Dennie Gordon,29
562,Dennis Dugan,221
563,Dennis Gansel,23
564,Dennis Hopper,0
565,Dennis Iliadis,29
566,Denys Arcand,66
567,Denzel Washington,18000
568,Deon Taylor,26
569,Derek Cianfrance,310
570,Derick Martini,20000
571,Derrick Borte,17
572,Deryck Broom,11
573,Des McAnuff,5
574,Dewey Nicks,4
575,Dexter Fletcher,452
576,Diane English,15
577,Diane Keaton,0
578,Dick Richards,6
579,Dinesh D'Souza,67
580,Dito Montiel,68
581,D.J. Caruso,154
582,DJ Pooh,69
583,Dominic Burns,15
584,Dominic Sena,57
585,Dominique Othenin-Girard,2
586,Donald Petrie,80
587,Don Bluth,383
588,Don Coscarelli,152
589,Don Hall,38
590,Don Kempf,0
591,Don Mancini,64
592,Don Michael Paul,70
593,Don Scardino,35
594,Don Siegel,152
595,Don Taylor,11
596,Doug Atchison,3
597,Doug Block,0
598,Douglas Aarniokoski,36
599,Douglas Cheek,4
600,Douglas McGrath,41
601,Douglas Trumbull,136
602,Doug Lefler,4
603,Doug Liman,218
604,Doug Walker,131
605,Drake Doremus,52
606,Drew Barrymore,0
607,Drew Goddard,246
608,Dror Moreh,4
609,D. Stevens,6
610,Duane Journey,2
611,Duke Johnson,26
612,Duncan Jones,0
613,Duncan Tucker,2
614,Dustin Hoffman,0
615,D.W. Griffith,204
616,Dwight H. Little,27
617,Dylan Bank,0
618,Ed Decter,13
619,Eddie O'Flaherty,3
620,Edgar Wright,1000
621,Ed Gass-Donnelly,8
622,Ed Harris,0
623,Edward Burns,0
624,Edward Dmytryk,74
625,Edward Hall,0
626,Edward Norton,0
627,Edward Zwick,380
628,E. Elias Merhige,54
629,Efram Potelle,2
630,Ekachai Uekrongtham,3
631,Elaine May,124
632,Eldar Rapaport,0
633,Elia Kazan,603
634,Eli Craig,27
635,Eli Roth,0
636,Elizabeth Allen Rosenbaum,20
637,Elizabeth Banks,0
638,E.L. Katz,3
639,Ellory Elkayem,11
640,Emile Ardolino,22
641,Émile Gaudreault,9
642,Emilio Estevez,0
643,Emily Dell,0
644,Emily Young,6
645,Emma-Kate Croghan,0
646,Enrique Begne,0
647,Eric Blakeney,3
648,Eric Bress,19
649,Eric Brevig,40
650,Eric Bross,49
651,Eric Bugbee,0
652,Eric Darnell,35
653,Eric Eason,3
654,Eric England,15
655,Eric Lartigau,7
656,Eric Lavaine,0
657,Eric Leighton,0
658,Eric Mendelsohn,5
659,Eric Nicholas,0
660,Eric Schaeffer,71
661,Ericson Core,19
662,Eric Styles,4
663,Éric Tessier,0
664,Eric Valette,2
665,Erik Canuel,31
666,Erik White,17
667,Ernest R. Dickerson,226
668,Ernie Barbarash,249
669,Errol Morris,239
670,Etan Cohen,164
671,Ethan Coen,1000
672,Ethan Maniquis,20
673,Étienne Faure,77
674,Eugène Lourié,7
675,Eugenio Derbez,399
676,Evan Goldberg,133
677,Eytan Fox,21
678,Fabián Bielinsky,44
679,Fatih Akin,766
680,Fede Alvarez,201
681,Fedor Bondarchuk,35
682,Fenton Bailey,13
683,Fernando Baez Mella,0
684,Fernando León de Aranoa,58
685,Fernando Meirelles,353
686,Feroz Abbas Khan,0
687,Ferzan Ozpetek,798
688,F. Gary Gray,473
689,Fina Torres,26
690,Finn Taylor,4
691,Florence Ayisi,0
692,Florent-Emilio Siri,17
693,Florian Henckel von Donnersmarck,207
694,Floria Sigismondi,50
695,Floyd Mutrux,11
696,Forest Whitaker,0
697,Francesca Gregorini,15
698,Francis Ford Coppola,0
699,Francis Lawrence,508
700,Franck Khalfoun,33
701,François Girard,63
702,François Ozon,341
703,François Truffaut,0
704,Franco Zeffirelli,160
705,Frank Borzage,57
706,Frank Capra,964
707,Frank Coraci,153
708,Frank Darabont,0
709,Frank LaLoggia,7
710,Franklin J. Schaffner,76
711,Frank Lotito,5
712,Frank Marshall,155
713,Frank Miller,436
714,Frank Nissen,0
715,Frank Oz,0
716,Frank Perry,24
717,Frank Sebastiano,3
718,Frank Whaley,436
719,Fred Dekker,87
720,Fred Durst,258
721,Frédéric Auburtin,18
722,Frédéric Forestier,0
723,Frederik Du Chau,7
724,Fred Savage,0
725,Fred Schepisi,40
726,Fred Walton,17
727,Fred Wolf,29
728,Fred Zinnemann,160
729,Fritz Lang,756
730,Gabe Ibáñez,19
731,Gabor Csupo,47
732,Gabriela Tagliavini,20
733,Gabriele Muccino,125
734,Gareth Edwards,380
735,Gareth Evans,338
736,Garry Marshall,0
737,Garth Jennings,37
738,Gary Chapman,2
739,Gary David Goldberg,30
740,Gary Fleder,39
741,Gary Halvorson,11
742,Gary Hardwick,10
743,Gary McKendry,5
744,Gary Nelson,20
745,Gary Rogers,0
746,Gary Ross,378
747,Gary Sherman,17
748,Gary Shore,28
749,Gary Sinyor,0
750,Gary Trousdale,21
751,Gary Winick,56
752,Gaspar Noé,929
753,Gavin Hood,151
754,Gavin O'Connor,149
755,Gavin Wiesen,19
756,Gene Quintano,0
757,Gene Teigland,0
758,Genndy Tartakovsky,266
759,Geoff Murphy,14
760,Geoffrey Sax,13
761,George Armitage,5
762,George A. Romero,0
763,George Clooney,0
764,George Cukor,165
765,George Gallo,269
766,George Hickenlooper,60
767,George Jackson,0
768,George Lucas,0
769,George Miller,750
770,George Nolfi,53
771,George P. Cosmatos,170
772,George Ratliff,3
773,George Roy Hill,131
774,George Sidney,24
775,George Stevens,126
776,George Tillman Jr.,88
777,Georgia Hilton,406
778,Georg Wilhelm Pabst,21
779,Gerald Potterton,0
780,Gerard Johnstone,3
781,Gérard Krawczyk,7
782,Gerry Lively,93
783,Gia Coppola,71
784,Gideon Raff,47
785,Gil Junger,19
786,Gil Kenan,27
787,Gilles Paquet-Brenner,15
788,Gillian Armstrong,44
789,Gillian Robespierre,9
790,Gina Prince-Bythewood,107
791,Giovanni Zelko,4
792,Giuliano Montaldo,4
793,Giuseppe Tornatore,911
794,Glen Morgan,17
795,Glenn Ficarra,43
796,Gnana Rajasekaran,0
797,Gonzalo López-Gallego,17
798,Goran Dukic,21
799,Gordon Chan,4
800,Gore Verbinski,563
801,Graham Annable,7
802,Grant Heslov,293
803,Greg Berlanti,112
804,Greg Coolidge,27
805,Greg Harrison,7
806,Greg Marcks,9
807,Greg Mottola,99
808,Gregor Jordan,34
809,Gregory Hoblit,40
810,Gregory Jacobs,13
811,Gregory Nava,16
812,Gregory Poirier,5
813,Gregory Widen,10
814,Greg Tiernan,5
815,Griffin Dunne,165
816,Guillaume Canet,0
817,Guillaume Ivernel,0
818,Guillermo del Toro,0
819,Gurinder Chadha,98
820,Gus Van Sant,835
821,Guy Hamilton,82
822,Guy Maddin,126
823,Guy Ritchie,0
824,Hal Haberman,0
825,Hal Needham,379
826,Ham Tran,5
827,Hank Braxtan,6
828,Hans Canosa,3
829,Hans Petter Moland,19
830,Hao Ning,0
831,Harald Reinl,2
832,Harald Zwart,91
833,Hark Tsui,85
834,Harley Cokeliss,4
835,Harmage Singh Kalirai,11
836,Harmony Korine,520
837,Harold Becker,17
838,Harold Cronk,18
839,Harold Ramis,11000
840,Harry Beaumont,4
841,Harry Elfont,4
842,Harry F. Millarde,0
843,Harry Gantz,0
844,Hart Bochner,157
845,Hayao Miyazaki,6000
846,Hayley Cloake,0
847,Heidi Ewing,4
848,Henry Alex Rubin,30
849,Henry Bean,21
850,Henry Hathaway,83
851,Henry Hobson,9
852,Henry Jaglom,69
853,Henry Joost,24
854,Henry King,85
855,Henry Koster,28
856,Henry Selick,253
857,Herbert Ross,71
858,Herb Freed,5
859,Hideaki Anno,28
860,Hideo Nakata,62
861,Hilary Brougher,0
862,Hironobu Sakaguchi,6
863,Hitoshi Matsumoto,17
864,H.M. Coakley,0
865,Hong-jin Na,43
866,Howard Deutch,41
867,Howard Hawks,393
868,Howard Hughes,177
869,Howard Zieff,6
870,Hoyt Yeatman,12
871,Hsiao-Hsien Hou,141
872,Huck Botko,10
873,Hue Rhodes,0
874,Hugh Hudson,46
875,Hugh Johnson,3
876,Hugh Wilson,37
877,Hunter Richards,11
878,Hyung-rae Shim,26
879,Iain Softley,34
880,Ian Fitzgibbon,11
881,Ian Iqbal Rashid,8
882,Ian Sharp,9
883,Ice Cube,0
884,Igor Kovalyov,5
885,Ingmar Bergman,0
886,Inna Evlannikova,0
887,Ira Sachs,60
888,Irvin Kershner,883
889,Irwin Winkler,34
890,Isaac Florentine,81
891,Isabel Coixet,148
892,István Szabó,109
893,Ivan Engler,0
894,Ivan Kavanagh,18
895,Ivan Reitman,425
896,J.A. Bayona,171
897,Jack Conway,6
898,Jack Heller,0
899,Jackie Earle Haley,0
900,Jack Perez,19
901,Jack Sholder,28
902,Jack Smight,22
903,Jacob Aaron Estes,9
904,Jaco Booyens,37
905,Jacques Perrin,63
906,Jafar Panahi,397
907,Jaime Zevallos,228
908,Jake Goldberger,2
909,Jake Kasdan,52
910,Jake Paltrow,17
911,Jake Schreier,14
912,Jake Scott,26
913,Jamaa Fanaka,9
914,Jamal Hill,47
915,Jamel Debbouze,326
916,James Algar,11
917,James Bidgood,0
918,James Bobin,33
919,James Bridges,21
920,James Cameron,0
921,James Cox,10
922,James David Pasternak,0
923,James DeMonaco,65
924,James Dodson,8
925,James Fargo,109
926,James Foley,164
927,James Frawley,21
928,James Gartner,0
929,James Gray,115
930,James Gunn,571
931,James Isaac,52
932,James Ivory,133
933,James Kerwin,0
934,James L. Brooks,274
935,James Manera,0
936,James Mangold,446
937,James Marsh,120
938,James Mather,4
939,James McTeigue,160
940,James Melkonian,7
941,James Mottern,7
942,James Nunn,16
943,James O'Brien,7
944,James Ponsoldt,53
945,James Schamus,44
946,James Toback,56
947,James Wan,0
948,James Watkins,43
949,James Wong,70
950,Jamie Babbit,91
951,Jamie Blanks,9
952,Jamie Thraves,2
953,Jamie Travis,15
954,Jamin Winans,63
955,Jan de Bont,101
956,Jane Campion,319
957,Jane Clark,23
958,Janusz Kaminski,710
959,Jared Hess,100
960,Jason Alexander,700
961,Jason Bateman,0
962,Jason Connery,110
963,Jason Eisener,59
964,Jason Friedberg,82
965,Jason Miller,0
966,Jason Moore,36
967,Jason Naumann,2
968,Jason Reitman,655
969,Jason Stone,14
970,Jason Trost,91
971,Jason Zada,4
972,Jaume Balagueró,57
973,Jaume Collet-Serra,174
974,Jay Alaimo,2
975,Jay Chandrasekhar,422
976,Jay Duplass,157
977,Jay Levey,3
978,Jay Oliva,41
979,Jay Roach,116
980,Jay Russell,13
981,J Blakeson,5
982,J.B. Rogers,6
983,J.C. Chandor,78
984,Jean-François Richet,25
985,Jean-Jacques Annaud,218
986,Jean-Jacques Mantello,0
987,Jean-Luc Godard,0
988,Jean-Marc Vallée,212
989,Jean-Marie Poiré,8
990,Jeannot Szwarc,82
991,Jean-Paul Rappeneau,22
992,Jean-Pierre Jeunet,0
993,Jeb Stuart,11
994,Jee-woon Kim,419
995,Jeff Burr,155
996,Jeff Crook,5
997,Jeff Franklin,24
998,Jeff Garlin,522
999,Jeff Kanew,6
1000,Jeff Lowell,4
1001,Jeff Nathanson,23
1002,Jeff Nichols,337
1003,Jeffrey St. Jules,0
1004,Jeffrey W. Byrd,2
1005,Jeff Schaffer,17
1006,Jeff Tremaine,79
1007,Jeff Wadlow,65
1008,Jehane Noujaim,63
1009,Je-kyu Kang,16
1010,Jem Cohen,6
1011,Jennifer Finnigan,246
1012,Jennifer Flackett,3
1013,Jennifer Wynne Farmer,0
1014,Jennifer Yuh Nelson,90
1015,Jeremy Brock,16
1016,Jeremy Degruson,0
1017,Jeremy Leven,19
1018,Jeremy Saulnier,57
1019,Jeremy Sims,8
1020,Jérôme Deschamps,0
1021,Jerome Elston Scott,3
1022,Jerome Robbins,34
1023,Jérôme Salle,22
1024,Jerry Belson,3
1025,Jerry Dugan,3
1026,Jerry Jameson,5
1027,Jerry Rees,115
1028,Jerry Zaks,4
1029,Jerry Zucker,109
1030,Jesse Dylan,58
1031,Jesse Peretz,37
1032,Jesse Vaughan,10
1033,Jessica Bendinger,31
1034,Jessie Nelson,24
1035,Jessy Terrero,29
1036,Jeta Amata,20
1037,Jez Butterworth,16
1038,Jill Sprecher,11
1039,Jim Abrahams,104
1040,Jim Amatulli,0
1041,Jim Chuchu,0
1042,Jim Fall,13
1043,Jim Field Smith,14
1044,Jim Gillespie,13
1045,Jim Goddard,3
1046,Jim Hanon,2
1047,Jim Issa,5
1048,Jim Jarmusch,0
1049,Jim Mickle,53
1050,Jimmy Hayward,39
1051,Jim Sheridan,260
1052,Jim Sonzero,2
1053,Jirí Menzel,44
1054,J.J. Abrams,14000
1055,JK Youn,2
1056,J. Lee Thompson,88
1057,Joachim Rønning,18
1058,Joan Chen,643
1059,Joby Harold,8
1060,Jodie Foster,0
1061,Jody Hill,62
1062,Joe Berlinger,31
1063,Joe Camp,24
1064,Joe Carnahan,248
1065,Joe Chappelle,13
1066,Joe Charbanic,10
1067,Joe Cornish,115
1068,Joe Cross,65
1069,Joe Dante,287
1070,Joe Johnston,394
1071,Joe Kenemore,0
1072,Joel Anderson,0
1073,Joel Coen,0
1074,Joel Edgerton,0
1075,Joel Gallen,11
1076,Joel Paul Reisig,431
1077,Joel Schumacher,541
1078,Joel Zwick,38
1079,Joe Marino,0
1080,Joe Nussbaum,18
1081,Joe Pytka,30
1082,Joe Roth,148
1083,Joe Swanberg,217
1084,Joe Wright,456
1085,Joey Lauren Adams,781
1086,Johanna Schwartz,0
1087,John A. Davis,8
1088,John Badham,139
1089,John Blanchard,0
1090,John Bonito,8
1091,John Boorman,128
1092,John 'Bud' Cardos,8
1093,John Cameron Mitchell,263
1094,John Carl Buechler,152
1095,John Carney,109
1096,John Carpenter,0
1097,John Cornell,5
1098,John Cromwell,19
1099,John Crowley,34
